The top 10users who has the maximum followers: 

1. Username: KamooMabe : Number of Followers: 996

2. Username: zsattler : Number of Followers: 993

3. Username: henrylim96 : Number of Followers: 990

4. Username: coteneh : Number of Followers: 99

5. Username: christj71 : Number of Followers: 99

6. Username: ALPHAMAGNUS : Number of Followers: 99

7. Username: DaniiUsiade : Number of Followers: 985

8. Username: somachee : Number of Followers: 982

9. Username: Perad_a : Number of Followers: 980

10. Username: Pajero114 : Number of Followers: 98

